응답,변이,유전,경쟁,자원,차별적생존,집단 변화,목적론,사용,의지,적응,아무것도 없어
씨앗을 뿌리면 나무를 많이 만들어 낼 것 같아서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
달팽이가 독성이 있는 잎을 먹어서 독성이 달팽이 몸에 옮겨 진거다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
사람이 점점 변화 되면서 진화하는것과 같이 장미도 그런 원리로 진화를 한 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 점점 무거워지면서 날지 못한 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
안 날아서 방법을 까먹었다. 날 수 있는데 필요가 없어서 안 나는거다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
독있는 동물의 DNA를 달팽이 안에 넣었다. 독 있는 동물이 달팽이를 물었는데 아주 적은 양으이 독이 죽지 않을 정도로 들어갔다. 돌연변이,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
생물학자들이 가시가 없는걸 개량했다. 그건 장미가 아니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
처음에 조그만 날개가 있는게 어쩌다가 나왔는데 그것들이 길어졌다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
조상 달팽이가 천적을 피하기 위해 자신을 보호할 수 있는 능력을 가졌다. 한마리로 천적의 공격에 대해 적응한 것이다. 또는 조상 달팽이와 독이 있는 달팽이가 번식해서 태어난 달팽이 일 것이다.,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄을 날 필요가 없고 오히려 수영을 해야 할 필요가 있기 때문에 날개가 수영하기 적합하게 변화한 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
조상이 날개가 있는 씨앗을 퍼뜨리는 나무와 번식하거나 더 멀리 번식하기 위해 진화했다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
가시가 없는 장미가 자신을 먹는 곤충이나 동물이 없어져서 가시가 퇴화됬다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자연환경이 파괴가 되자 않 좋을 물질(독이 있는 것)이 떠내려가 달팽이가 그물을 먹고 적응을 못한 달팽이는 죽고 적응한 달팽이는 산다.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
날려고 하다가 많이먹어서 떨어져 날개를 다쳐 그것이 유전이 되어 못날게 되었다.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
매연을 마시는 1종은 못 견뎌서 가시가 없고 견딘장미는 가시가 있다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
이산화 탄소가 너무 많아져 씨앗이 세개가 합쳐져서 씨앗으로 변형 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이는 독이 없지만 자기를 보호하기 위해 어떤 날부터 자신의 몸에 독을 품었다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미가 자신을 보호하면서 가시가 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 많이 날아다니다 보니 팔이아파서 날지 못하고 걸어 다니게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
날개가 있었는데 느릅나무가 날개가 있는 씨앗을 가지고 있었다가 날개가 없어졌다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 날개가 없어 만들어 붙임,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
독이 있는 거미가 달팽이 껍질에 독을 쏘아서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미가 매일 예뻐서 따고 그래서 가시 생김,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
씨앗에 물을 뿌려 날개증산만 씻겨냄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
천적이 많아져서 자신의 몸으로 독성을 만들어 냈다고 생각합니다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미를 꺽는 사람이 많아서 자신을 보호하기 위해 가시가 생겨났다고 생각한다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄을 잡아 먹거나 사냥하는 짐승이나 사람이 없어져서 날지 않아도 되게 됬다. 그래서 날 수 있는 기능이 없어졌다고 생각한다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
느릅나무 앞에서 씨앗이 생겨났다고 생각한다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"포식자가 점점 늘어나자 달패이는 스스로 자신을 보호할 방법을 찾다가, 독이든 식물을 먹고, 그 독을 저장해 놓았다가 그 독을 필요할때 쓰는 방법을 터득한 것일거다.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"장미는 동물에게 계속 먹혀 자손을 남길수 없게 되자, 가시를 만들어내 자신의 몸을 보호한 것이다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"포식자가 없는 추운 곳에서 사니 포식자가 적고 먹을것이 풍부했다. 또한 추운날이 계속되자, 지방층은 두터워졌고, 몸에 비해 날개가 작아지는 퇴화가 일어난 것이다. ",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"느릅나무는 동물처럼 움직일수도 없어, 멀리까지 자손을 퍼뜨리지 못했다. 그래서, 씨앗에 날개가 달려있는 종자만이 살아남아, 지금까지 대를 이어온 것이다.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
달팽이가 기어다니면서 어떤 물방울을 먹었는데 그게 독이였다. 그후로 그 달팽이는 독성이 생겼다. 그 달팽이가 번식을 하면서 독성 달팽이를 많이 만들었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
가시를 좋아하는 새가 장미의 가시를 쪼아 먹고 가시를 좋아하는 쥐가 장미의 가시를 갉아 먹어서 가시가 모두 없어 졌는데 다른장미가 그대로 유전이 되어서 가시가 없는 종이 생겨 났다.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
길고 가벼웠던 펭귄의 날개가 점점 무거워지고 짧아져서 날 수 없게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
느릅나무가 땅에만 붙어있으니까 지겨워서 날고 싶은 마음에 자신이 나는 상상을 하였고 그 상상을 너무 해서 씨앗에게 날개가 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
오랜 세월이 흐르면서 환경에 맞게 진화해 왔을 것이다. 달팽이가 독성을 가지게 된 이유는 그 달팽이 종이 살던 지역에서 달팽이가 생존하려면 독이 필요했기 때문에 독성을 가지게 되었을것이다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
그 가시가 없는 장미는 살아가는 환경이 가시가 없어도 생존할 수 있었기 때문에 가시가 없어졌을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄의 많은 종 중에 날 수 없는 종은 그 환경에 맞게 변화했을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
환경에 맞게 날개가 있는 씨앗은 생산했을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
제 생각에는 물고기를 좋아해서 물고기를 구하려고 육지에서 살다보니 날지 못하게 된 거라고 생각합니다. 아님 돌연변이거나,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
돌연변이거나 자신을 먹는 천적이 늘어나서라고 생각합니다.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제 생각에는 동물들이 점점 사라지니 가시가 사라질거라 생각합니다. 아니면 돌연변이거나,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한곳에서만 자랄수 없게 날개를 만든건 아닐까 생각합니다. 돌연변이거나,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
생물학자들이 가시가 없는 장미로 만들기 위해 멀쩡한 장미에 다가 어떤 실험을 해서 장미의 가시가 없어진 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
씨앗이 없던 느릅나무중에서 돌연변이가 생겨 날개가 있는 씨앗을 생산하게 된 것입니다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어느 한 달팽이가 독성을 가진 동물에 의해 감염이 되었다. 그렇게 해서 독성을 가진 달팽이가 새끼를 낳으면 그 달팽이 새끼로 독성을 가지게 되어서 독성이 있는 달팽이가 생기게 된 것이다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
원래 펭귄은 날 지 못합니다. 그러나 물속에서는 자유롭게 헤엄치기 때문에 사람들은 그걸보고 날 수 있다고 생각한것 입니다. 하지만 원래 펭귄은 날지 못합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이와 달팽이가 짝짓기를 하면서 독이 있는 달팽이가 태어났을 것이다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
장미와 가시가 없는 어떤 식물이 만나서 그 사이에서 가시 없는 장미가 태어났을 것 같다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
펭귄의 짝짓기 도중에 알을 잘못하여 떨어뜨리거나 부화과정에서 문제가 발생하였을 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
식물이 씨앗을 생산하는데 그 씨앗이 멀리 퍼지지 않자 날개 있는 씨앗을 생산하여 씨앗을 멀리 퍼트렸을 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미가 자신을 지킬려고 필요하다고 느꼈자민 지금은 가시가 필요없다고 느껴져서 가시가 퇴화되었다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
제 생각은 달팽이가 포식자로부터 자신을 지킬려면 껍데기만으로 못지키는것을 알고 독을 자기 몸에서 생산할수 있게 진화 하였다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
펭귄은 굳이 추운데서 날아다니면서 힘들게 사냥보다는 물속에서 헤엄치는게 나을 것 같아서 날수있는 능력이 있어지고 헤엄 능력이 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
씨앗이 더 안전하게 커서 나무가 될라면 날개가 있는게 더 안전하게 될수 있어 진화했다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
남극같이 추운 곳에는 하늘 위에는 마땅히 펭귄에 먹이가 없어서 잠수와 수영을 오래 하기 위해 깃털을 없에고 날개를 하늘을 나는 용이 아닌 수영을 하는 용도로 진화하였다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
가시가 있으니까 나비와 벌도 접근이 힘들어지자 장미의 씨를 위해 가시를 포기하고 종자를 늘리기로 했다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
느릅나무에 씨는 땅에 떨어지면 동물들이 나무 밑에만 찾아보면 씨를 발견해 멀리 날려 보내기 위해 날개가 있는 씨로 진화 하였다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달패이는 속도가 느려 포식자들에게는 아주 좋은 먹이라서 독성을 몸에 지녀 최대한 방어를 하는 것이다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
조상 달팽이가 독이 있는 동물에게 물렸는데 그때 알을 나서 그 알에서 나온 달팽이가 독성이 있는것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
꽃가루가 날라오다가 다른 꽃가루가 날라와서 가시가 없게 진화된것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
조상 펭귄이 물가로 가다가 U자로 되있는 구간을 만났다. 그래서 이렇게 가다가 날수 있었는데 차츰 어미나 아버지가 길 동안 한 사람은 알을 지키고 있었어서 차츰 잊혀져 가는 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
어떤 동물이 날개가 있는 씨앗을 먹고 응가를 싸서 그걸 느릅나무가 사는 지역에다가 묻었다. 그랬더니 날개가 있는 씨앗을 생산하였다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"찰스 다윈의 진화론을 보면 예전에 기린이 목이 짧고, 조랑말과 비슷하게 생겼지만, 차차 시간이 경과한후 높은곳에 있는 나뭇잎을 따기 위해 녹이 길어졌다고 한다. 이처럼 달팽이도 필요에 따라 독이 없어진 것이고, 그 환경에 따라 달팽이는 진화하였다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"찰스 다윈의 진화론에서는 생물은 자신이 사는 그환경에 맞게 진화한다고 나와있다. 그러므로 느릅나무는 식물로서 번식을 해야 될 사명이 있다. 그래서 점점 쉽게 번식을 하려고, 진화한 것이다. 이는 개체변이라 할 수있다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
대부분 식물은 동물이나 자연의 힘으로 번식을 한다. 그러나 번식을 하려면 곤충이 꽃에 앉아 수술을 가지고 가야한다. 그러나 곤충 외에 다른 요인에 의하여 환경적으로 가시가 있는 종으로 진화하였다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"펭귄은 주로 물고기를 잡아먹는다. 그러기 위해서는 물속을 헤엄쳐야 한다. 물속을 헤엄칠때 날개를 변형할 수 있다. 펭귄은 물속에서 헤엄을 치고, 두 발도 걸어다니니, 날개는 필요가 없게 되고, 점점 날개는 퇴화되어 날 수 없게 된 것이다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
느릅나무가  자신의 후손을 멀리 퍼트리기 위해 씨앗에 날개가 생김,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
제 생각에는 조상 달팽이가 다른 생물들으로 부터 자신을 보호하기 위해 진화했다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄이 추운지역에 살기 때문에 지방이 많고 수영을 잘해 물고기를 먹기 때문에 날 필요도 없어 날개가 퇴화됨,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
제 생각에는 장미가 자신을 꺽지 못하게 가시가 생기도록 진화되었다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
바다에서도 충분히 생활 할 수있으니까 날지 않아도 되자 않아서 안쓰다 보니까 진화 하면서 쓰지 않는 것이 되었던 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
